County Name,Population,Incorporation Date,Form of Government,Board of Supervisor,Desc
Nevada County,"POPULATION: 98,114",INCORPORATION DATE: 1851,FORM OF GOVERNMENT: General Law,"District 1 – Heidi Hall, District 2 – Ed Scofield, District 3 – Lisa Swarthout, District 4 – Susan Hoek, District 5 – Hardy Bullock","NEVADA. County seat, Nevada City. Created April 25, 1851. Named after the mining town of Nevada City, a name derived from the term “Sierra Nevada.” The word nevada in Spanish means “snowy” or “snowcovered.”"
Orange County,"POPULATION: 3,194,332",INCORPORATION DATE: 1889,FORM OF GOVERNMENT: Charter,"District 1 – Andrew Do, District 2 – Vicente Sarmiento, District 3 – Donald Wagner, District 4 – Doug Chaffee, District 5 – Katrina Foley","ORANGE. County seat, Santa Ana. Created March 11, 1889. This county was given the name of Orange to sound like a semi-tropical paradise in order to encourage immigration."
Placer County,"POPULATION: 403,711",INCORPORATION DATE: 1851,FORM OF GOVERNMENT: Charter,"District 1 – Bonnie Gore, District 2 – Shanti Landon, District 3 – Jim Holmes, District 4 – Suzanne Jones, District 5 – Cindy Gustafson","PLACER. County seat, Auburn. Created April 25, 1851. Placer is probably a contraction of the words plaza de oro (the place of gold) and in Spanish means “a place near a river where gold is found.” The county derived its name from the numerous places where the method of extracting gold from the earth, called placer mining, was practiced."
Plumas County,"POPULATION: 18,260",INCORPORATION DATE: 1854,FORM OF GOVERNMENT: General Law,"District 1 – Dwight Ceresola, District 2 – Kevin Goss, District 3 – Tom McGowan, District 4 – Gregory Hagwood, District 5 – Jeff Engel","PLUMAS. County seat, Quincy. Created March 18, 1854. The Spanish originally called one of the tributaries of the Sacramento River El Rio de las Plumas or the “River of Feathers.” The Legislature, in creating this county, gave it the name Plumas because all of the numerous branches of the Feather River have their origins in its mountains."
Riverside County,"POPULATION: 2,442,304",INCORPORATION DATE: 1893,FORM OF GOVERNMENT: General Law,"District 1 – Kevin Jeffries, District 2 – Karen Spiegel, District 3 – Chuck Washington, District 4 – V. Manuel Perez, District 5 – Yxstian Gutierrez","RIVERSIDE. County seat, Riverside. Created March 11, 1893. This county was created from portions of San Diego and San Bernardino counties and derived its name from the City of Riverside, christened when the upper canal of the Santa Ana River reached it in 1871."
Sacramento County,"POPULATION: 1,555,365",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: Charter,"District 1 – Phil Serna, District 2 – Patrick Kennedy, District 3 – Rich Desmond, District 4 – Sue Frost, District 5 – Pat Hume","SACRAMENTO. County seat, Sacramento. Created February 18, 1850. The county was named by Captain Moraga after the Sacramento River. The word sacramento signifies “Sacrament” or “Lord’s Supper.”"
San Benito County,"POPULATION: 62,353",INCORPORATION DATE: 1874,FORM OF GOVERNMENT: General Law,"District 1 – Dom Zanger, District 2 – Kollin Kosmicki, District 3 – Mindy Sotelo, District 4 – Angela Curro, District 5 – Bea Gonzales","SAN BENITO. County seat, Hollister. Created February 12, 1874. Named after San Benito Valley. Crespi, in his expedition in 1772, named a small river in honor of San Benidicto (Saint Benedict), the patron saint of the married, and it is from the contraction of this name that the county took its name."
San Bernardino County,"POPULATION: 2,180,537",INCORPORATION DATE: 1853,FORM OF GOVERNMENT: Charter,"District 1 – Paul Cook , District 2 – Jesse Armendarez, District 3 – Dawn Rowe, District 4 – Curt Hagman, District 5 – Joe Baca Jr.","SAN BERNARDINO. County seat, San Bernardino. Created April 26, 1853. Saint Bernard is the patron saint of mountain passes. The name Bernardino means “bold as a bear.” The Spanish gave the name San Bernardino to the snowcapped peak in southern California, in honor of the saint; from him the county derived its name."
San Diego County,"POPULATION: 3,343,355",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: Charter,"District 1 – Nora Vargas, District 2 – Joel Anderson, District 3 – Terra Lawson-Remer, District 4 – Monica Montgomery, District 5 – Jim Desmond","SAN DIEGO. County seat, San Diego. Created February 18, 1850. Named after San Diego Bay, which had been rechristened by Vizcaino in 1602, in honor of the Franciscan, San Diego de Alcala de Henares, whose name was borne by his flagship."
San Francisco City & County,"POPULATION: 897,806",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: Charter,"District 1 – Connie Chan, District 2 – Catherine Stefani, District 3 – Aaron Peskin, District 4 – Joel Engardio, District 5 – Dean Preston, District 6 – Matt Dorsey, District 7 – Myrna Melgar, District 8 – Rafael Mandelman, District 9 – Hillary Ronen, District 10 – Shamann Walton, District 11 – Ahsha Safai","SAN FRANCISCO. County seat, San Francisco. Created February, 18, 1850. The sixth mission in California was established here by Padre Junipero Serra on October 9, 1776, and was named Mission San Francisco de Asis a la Laguna de los Dolores (Saint Francis of Assisi at the Lagoon of Sorrows). The mission is now known as “Mission Dolores.”"
San Joaquin County,"POPULATION: 773,632",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – Miguel Villapudua, District 2 – Paul Canepa, District 3 – Tom Patti, District 4 – Steven J. Ding, District 5 – Robert Rickman","SAN JOAQUIN. County seat, Stockton. Created February 18, 1850. The county takes its name from the San Joaquin River. In the early 1800’s Lieutenant Moraga, commanding an expedition in the lower great Central Valley of California, gave the name of San Joaquin (meaning Saint Joachim) to a rivulet that springs from the Sierra Nevada mountains and empties into Buena Vista Lake."
San Luis Obispo County,"POPULATION: 277,259",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – John Peschong, District 2 – Bruce Gibson, District 3 – Dawn Ortiz-Legg, District 4 – Jimmy Paulding, District 5 – Debbie Arnold","SAN LUIS OBISPO. County seat, San Luis Obispo. Created February 18, 1850. In 1772, the Mission San Luis Obispo was established here by Padre Junipero Serra and named for Saint Luis, the Bishop of Toulouse. The county’s name comes from the mission."
San Mateo County,"POPULATION: 773,244",INCORPORATION DATE: 1856,FORM OF GOVERNMENT: Charter,"District 1 – Dave Pine, District 2 – Noelia Corzo, District 3 – Ray Mueller, District 4 – Warren Slocum, District 5 – David Canepa","SAN MATEO. County seat, Redwood City. Created April 19, 1856. The county bears the Spanish name for Saint Matthew. As a place name, St. Matthew appears as early as 1776, and the arroyo, the point and the settlement at the unofficial San Mateo Mission are all so designated on the early maps. Until about 1850, the name appeared as San Matheo."
Santa Barbara County,"POPULATION: 451,840",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – Das Williams, District 2 – Laura Capps, District 3 – Joan Hartmann, District 4 – Bob Nelson, District 5 – Steve Lavagnino","SANTA BARBARA. County seat, Santa Barbara. Created February 18, 1850. The Santa Barbara Channel received its name from Sebastian Vizcaino when he sailed over the channel waters in 1602. In 1782, Padre Junipero Serra dedicated a site near the channel for a presidio and on December 4, 1786, he founded the nearby Mission Santa Barbara (Saint Barbara). The county derives its name from the mission."
Santa Clara County,"POPULATION: 1,961,969",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: Charter,"District 1 – Sylvia Arenas, District 2 – Cindy Chavez, District 3 – Otto Lee, District 4 – Susan Ellenberg, District 5 – Joe Simitian","SANTA CLARA. County seat, San Jose. Created February 18, 1850. The county is named after Mission Santa Clara, which was established in 1777, and named for Saint Clara of Assisi, Italy. The name Clara means “clear” or “bright.”"
Santa Cruz County,"POPULATION: 271,233",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – Manu Koenig, District 2 – Zach Friend, District 3 – Justin Cummings, District 4 – Felipe Hernandez, District 5 – Bruce McPherson","SANTA CRUZ. County seat, Santa Cruz. Created February 18, 1850. In the original act, the county was given the name of Branciforte after the Spanish pueblo founded there in 1797. Less than two months later, the name was changed to Santa Cruz. The Santa Cruz Mission, established in 1791 and completed in 1794, was destroyed by earthquake in 1857, but a smaller-scale replica was erected in 1931. Santa Cruz signifies “holy cross.”"
Shasta County,"POPULATION: 178,045",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – Kevin Crye, District 2 – Tim Garman, District 3 – Mary Rickert, District 4 – Patrick Henry Jones, District 5 – Chris Kelstrom","SHASTA. County seat, Redding. Created February 18, 1850. This county was named after Mount Shasta, the name Shasta is derived from the English equivalent for the name of an Indian tribe that once lived in the area. The name of the tribe was spelled in various ways until the present version was used when the county was established."
Sierra County,"POPULATION: 3,201",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – Lee Adams, District 2 – Lila Heuer, District 3 – Paul Roen, District 4 – Terry LeBlanc, District 5 – Sharon Dryden","SIERRA. County seat, Downieville. Created April 16, 1852. Sierra nevada in Spanish means “snow saw,” applied to the Sierra Nevada mountain chain because of the jagged, serrated, sawtooth peaks forming the skyline."
Siskiyou County,"POPULATION: 44,461",INCORPORATION DATE: 1852,FORM OF GOVERNMENT: General Law,"District 1 – Brandon Criss, District 2 – Ed Valenzuela, District 3 – Michael Kobseff, District 4 – Nancy Ogren, District 5 – Ray Haupt","SISKIYOU. County seat, Yreka. Created March 22, 1852, and named after the mountain range. The origin of the word siskiyou is not known. One version is that it is the Chinook Indian word for “bob-tailed horse.” Another version, given in an argument before the state Senate in 1852, is that the French name Six Callieux, meaning “six-stone,” was given to a ford on the Umpqua River by Michel La Frambeau and a party of Hudson’s Bay company trappers in 1832, because six large stones or rocks lay in the river where they crossed. Still others attribute the name to a local tribe of Indians."
Solano County,"POPULATION: 440,224",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – Erin Hannigan, District 2 – Monica Brown, District 3 – Wanda Williams, District 4 – John Vasquez , District 5 – Mitch Mashburn","SOLANO. County seat, Fairfield. Created February 18, 1850. The county derives its name indirectly from that of the Franciscan missionary, Father Francisco Solano, whose name was given in baptism to the chief of one of the Indian tribes of the region. Before receiving the name Solano, the chief was called Sem-yeto, which signifies “brave or fierce hand.” At the request of General Mariano Vallejo, the county was named for Chief Solano, who at one time ruled over most of the land and tribes between the Petaluma Creek and the Sacramento River."
Sonoma County,"POPULATION: 492,980",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – Susan Gorin, District 2 – David Rabbitt, District 3 – Chris Coursey, District 4 – James Gore, District 5 – Lynda Hopkins","SONOMA. County seat, Santa Rosa. Created February 18, 1850. Sonoma is a Chocuyen Indian name translated by some as “Valley of the Moon” and by others as “land or tribe of the Chief Nose.”"
Stanislaus County,"POPULATION: 557,709",INCORPORATION DATE: 1854,FORM OF GOVERNMENT: General Law,"District 1 – Buck Condit, District 2 – Vito Chiesa, District 3 – Terry Withrow, District 4 – Mani Grewal, District 5 – Channce Condit","STANISLAUS. County seat, Modesto. Created April 1, 1854. The word Stanislaus is a corruption of Estanislao, the baptismal name of a mission-educated renegade Indian chief who led a band of Indians in a series of battles against Mexican troops. He was finally defeated by General Mariano G. Vallejo in 1826. The county is named for the Stanislaus River, first discovered by Gabriel Moraga in 1806, and later renamed Rio Estanislao for the Indian chief."
Sutter County,"POPULATION: 100,750",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – Nick Micheli, District 2 – Dan Flores, District 3 – Mike Ziegenmeyer, District 4 – Karm Bains, District 5 – Mat Conant","SUTTER. County seat, Yuba City. Created February 18, 1850. Sutter County was named after General John Augustus Sutter, a native of Switzerland, who obtained a large land grant from the Mexican government, and called his first settlement New Helvetia (now the City of Sacramento). In 1841, the general established a great stock ranch in this area to which he retired in 1850 when gold seekers deprived him of most of his holdings at Sacramento."
Tehama County,"POPULATION: 65,129",INCORPORATION DATE: 1856,FORM OF GOVERNMENT: Charter,"District 1 – Bill Moule, District 2 – Candy Carlson, District 3 – Pati Nolen, District 4 – Matt Hansen, District 5 – John Leach","TEHAMA. County seat, Red Bluff. Created April 9. 1856. The county is named for the City of Tehama. Suggested possible roots are the Arabic word tehama (“hot low-lands”), the Mexican word tejamanil (shingle), or “high water” in the dialect of local Indians."
Trinity County,"POPULATION: 13,548",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – Ric Leutwyler, District 2 – Jill Cox, District 3 – Liam Gogan, District 4 – Heidi Carpenter-Harris, District 5 – Dan Frasier","TRINITY. County seat, Weaverville. Created February 18, 1850. It takes its name from the Trinity River, named in 1845 by Major Pearson B. Reading who was under the mistaken impression that the stream emptied into Trinidad Bay. Trinity is the English version of Trinidad."
Tulare County,"POPULATION: 479,977",INCORPORATION DATE: 1852,FORM OF GOVERNMENT: General Law,"District 1 – Larry Micari, District 2 – Peter Vander Poel, District 3 – Amy Shuklian, District 4 – Eddie Valero, District 5 – Dennis Townsend","TULARE. County seat, Visalia. Created April 20, 1852. Commandante Fages, while hunting for deserters in 1772, discovered a great lake surrounded by marshes and filled with rushes which he named Los Tules (the tules). It is from this lake that the county derives its name. The root of the name Tulare is found in the Mexican word tullin, designating cattail or similar reeds."
Tuolumne County,"POPULATION: 54,917",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – David Goldemberg, District 2 – Ryan Campbell, District 3 – Anaiah Kirk, District 4 – Kathleen Haff, District 5 – Jaron Brandon","TUOLUMNE. County seat, Sonora. Created February 18, 1850. The name Tuolumne is of Indian origin and has been given different meanings, such as Many Stone Houses, The Land of Mountain Lions and Straight Up Steep, the later an interpretation of William Fuller, a native Indian Chief. Vallejo, in his report to the first Legislature, said that the word is “a corruption of the Indian word talmalamne which signifies “cluster of stone wigwams.” The name may mean “people who dwell in stone houses,” i.e., in caves."
Ventura County,"POPULATION: 842,866",INCORPORATION DATE: 1872,FORM OF GOVERNMENT: General Law,"District 1 – Matt LaVere, District 2 – Jeff Gorell , District 3 – Kelly Long, District 4 – Janice Parvin, District 5 – Vianey Lopez","VENTURA. County seat, Ventura. Created March 22, 1872. In 1782 the Mission San Buenaventura was founded as San Buenaventura (now known as Ventura). Buenaventura is composed of two Spanish words, buena meaning “good” and ventura meaning “fortune.”"
Yolo County,"POPULATION: 222,705",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – Oscar Villegas, District 2 – Lucas Frerichs, District 3 – Mary Vixie Sandy, District 4 – Jim Provenza, District 5 – Angel Barajas","YOLO. County seat, Woodland. Created February 18, 1850. In the original act of 1850 the name was spelled “Yola.” Yolo is an Indian name variously believed to be a corruption of an Indian tribal name Yo-loy meaning “a place abounding in rushes” or of the name of the Indian chief, Yodo, or of the Indian village of Yodoi."
Yuba County,"POPULATION: 78,887",INCORPORATION DATE: 1850,FORM OF GOVERNMENT: General Law,"District 1 – Andy Vasquez, District 2 – Don Blaser, District 3 – Seth Fuhrer, District 4 – Gary Bradford, District 5 – Jon Messick","YUBA. County seat Marysville. Created February 18, 1850. It was named after the Yuba River by Captain John A. Sutter for the Indian village Yubu, Yupu or Juba near the confluence of the Yuba and Feather rivers. Vallejo stated that the river was named Uba by an exploring expedition in 1824 because of the quantities of wild grapes (uvas silvestres in Spanish) which they found growing on its banks."
